Data,ABEV3,ASAI3,EMBJ3,MGLU3,VALE3
2016-12-30,,,,,
2017-01-02,11.00502529,,15.481231606,3.5610079263,12.464374078
2017-01-03,11.227689811,,15.829559317,3.5501543971,13.016467264
2017-01-04,11.139973485,,15.645719692,3.3610929203,12.782698077
2017-01-05,11.200700172,,15.965020094,3.4766304895,13.2701317
2017-01-06,11.106236436,,16.042426252,3.4542232033,12.916991014
2017-01-09,11.153468304,,16.081129331,3.2970220865,13.180603076
2017-01-10,11.025267519,,15.916641245,3.375447588,14.195260822
2017-01-11,11.072499387,,16.206914338,3.4136099972,14.488715758
2017-01-12,11.423364694,,15.955344324,3.641183997,14.956254132
2017-01-13,11.544818069,,16.255293187,3.7112067662,15.41384488
2017-01-16,11.504333611,,16.54556628,3.6380329724,15.826671316
2017-01-17,11.605544757,,16.9229213,3.7112067662,15.204944756
2017-01-18,11.646029215,,17.029354767,3.7304630277,15.970911878
2017-01-19,11.673018854,,17.077733616,3.7602227046,15.652587879
2017-01-20,11.706755903,,17.416385557,4.1978650119,15.965938066
2017-01-23,11.700008493,,17.619576722,4.3764230733,16.567769376
2017-01-24,11.72033277,,18.074337901,4.5668850055,16.975622
2017-01-25,,,,,
2017-01-26,11.727107529,,17.793740578,4.4646517625,16.712009938
2017-01-27,11.733882288,,17.68730711,4.3515649903,16.761748063
2017-01-30,11.496765729,,17.135788235,4.0823274428,16.040545253
2017-01-31,11.652585182,,17.416385557,4.4811071132,16.005728566
2017-02-01,11.733882288,,17.638928262,4.4464458425,16.358869252
2017-02-02,11.625486146,,17.261573241,4.4464458425,16.244471565
2017-02-03,11.754206564,,17.377682478,4.4464458425,15.224840006
2017-02-06,11.564513317,,17.193842853,4.8662323437,14.881646945
2017-02-07,11.530639523,,17.426061327,4.9015938421,15.040808944
2017-02-08,11.48999097,,16.90356976,4.7965596884,15.214892381
2017-02-09,11.442567658,,17.203518623,4.7965596884,15.458609192
2017-02-10,11.611936629,,17.532494794,4.8413742606,16.31410494
2017-02-13,11.686458976,,17.755037499,5.3217304572,17.811222497
2017-02-14,11.77453084,,17.71633442,5.2342019957,17.109914937
2017-02-15,12.208115405,,17.745361729,5.3917532263,16.821433813
2017-02-16,12.174241611,,17.513143255,5.4617759955,16.79656475
2017-02-17,12.126818299,,17.580873643,5.7261119491,16.945779125
2017-02-20,12.086169747,,17.938877124,6.1620036872,18.119598871
2017-02-21,12.2419892,,17.861470966,6.7046801483,17.67692956
2017-02-22,12.384259135,,17.68730711,6.7806548529,17.254155499
2017-02-23,12.282637752,,17.232545932,7.180134751,16.498136001
2017-02-24,12.086169747,,17.348655169,7.2862192463,16.27431444
2017-02-27,,,,,
2017-02-28,,,,,
2017-03-01,12.133593058,,17.455088636,7.5274476861,16.498136001
2017-03-02,11.65935994,,17.222870162,6.9322541481,15.647614067
2017-03-03,11.781305599,,17.72601019,6.8275701082,15.826671316
2017-03-06,11.686458976,,17.600225183,6.8279202221,15.468556817
2017-03-07,11.395144346,,17.745361729,6.480607287,15.379028193
2017-03-08,11.598387111,,18.180771368,6.1620036872,14.981123194
2017-03-09,11.72033277,,18.558126388,6.494261727,15.010966069
2017-03-10,11.72033277,,18.161419828,5.9869467643,14.747354008
