Data,ABEV3,ASAI3,EMBJ3,MGLU3,VALE3
2016-12-30,,,,,
2017-01-02,16.31,,16.0,101.71,25.06
2017-01-03,16.64,,16.36,101.4,26.17
2017-01-04,16.51,,16.17,96.0,25.7
2017-01-05,16.6,,16.5,99.3,26.68
2017-01-06,16.46,,16.58,98.66,25.97
2017-01-09,16.53,,16.62,94.17,26.5
2017-01-10,16.34,,16.45,96.41,28.54
2017-01-11,16.41,,16.75,97.5,29.13
2017-01-12,16.93,,16.49,104.0,30.07
2017-01-13,17.11,,16.8,106.0,30.99
2017-01-16,17.05,,17.1,103.91,31.82
2017-01-17,17.2,,17.49,106.0,30.57
2017-01-18,17.26,,17.6,106.55,32.11
2017-01-19,17.3,,17.65,107.4,31.47
2017-01-20,17.35,,18.0,119.9,32.1
2017-01-23,17.34,,18.21,125.0,33.31
2017-01-24,17.3,,18.68,130.44,34.13
2017-01-25,,,,,
2017-01-26,17.31,,18.39,127.52,33.6
2017-01-27,17.32,,18.28,124.29,33.7
2017-01-30,16.97,,17.71,116.6,32.25
2017-01-31,17.2,,18.0,127.99,32.18
2017-02-01,17.32,,18.23,127.0,32.89
2017-02-02,17.16,,17.84,127.0,32.66
2017-02-03,17.35,,17.96,127.0,30.61
2017-02-06,17.07,,17.77,138.99,29.92
2017-02-07,17.02,,18.01,140.0,30.24
2017-02-08,16.96,,17.47,137.0,30.59
2017-02-09,16.89,,17.78,137.0,31.08
2017-02-10,17.14,,18.12,138.28,32.8
2017-02-13,17.25,,18.35,152.0,35.81
2017-02-14,17.38,,18.31,149.5,34.4
2017-02-15,18.02,,18.34,154.0,33.82
2017-02-16,17.97,,18.1,156.0,33.77
2017-02-17,17.9,,18.17,163.55,34.07
2017-02-20,17.84,,18.54,176.0,36.43
2017-02-21,18.07,,18.46,191.5,35.54
2017-02-22,18.28,,18.28,193.67,34.69
2017-02-23,18.13,,17.81,205.08,33.17
2017-02-24,17.84,,17.93,208.11,32.72
2017-02-27,,,,,
2017-02-28,,,,,
2017-03-01,17.91,,18.04,215.0,33.17
2017-03-02,17.21,,17.8,198.0,31.46
2017-03-03,17.39,,18.32,195.01,31.82
2017-03-06,17.25,,18.19,195.02,31.1
2017-03-07,16.82,,18.34,185.1,30.92
2017-03-08,17.12,,18.79,176.0,30.12
2017-03-09,17.3,,19.18,185.49,30.18
2017-03-10,17.3,,18.77,171.0,29.65
2017-03-13,17.36,,18.9,170.06,31.01
2017-03-14,17.1,,18.57,173.0,31.17
2017-03-15,17.3,,18.37,175.69,33.32
2017-03-16,17.28,,18.66,195.95,32.53
2017-03-17,17.21,,18.5,183.9,31.3
2017-03-20,17.64,,18.9,195.51,31.63
2017-03-21,17.42,,17.75,184.0,29.04
2017-03-22,17.31,,17.69,182.36,29.4
